"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"72","0335","ECOLE CONDORCET",885,18.76,2.09,3.69,10.09,41.62,9.66,0.28,0.28,0,11.79,0.85,21.73
"73","0336","ECOLE CONDORCET",850,17.65,1,3.75,10.97,40.4,7.94,0.29,0.29,0.72,10.68,1.3,23.67
"74","0337","ECOLE VIALA",976,16.39,1.47,2.74,9.08,40.67,8.08,0.37,0.62,0,12.94,1.37,24.13
"75","0338","ECOLE VIALA",1079,23.17,1.81,3.44,11.55,26.9,11.79,0.74,0,0.25,12.53,0.74,32.06
"76","0339","ECOLE LOUISE",1336,16.62,1.89,3.2,10.34,37.05,8.14,0.64,0.46,0.27,14.46,1.74,23.7
"77","0340","ECOLE LOUISE",1241,21.03,1.53,4.46,11.09,30.47,10.26,0.93,0.52,0.21,11.19,1.87,29.02
"78","0341","ECOLE DOCTEUR REBATEL",1057,16.37,1.58,2.53,10.34,38.62,8.05,0.34,0.34,0,8.85,1.26,29.66
"79","0342","ECOLE DOCTEUR REBATEL",1026,15.79,1.39,4.11,8.69,35.45,8.1,0.47,0.23,0,12.79,1.17,28.99
"80","0343","ECOLE NOVE JOSSERAND",1357,15.77,1.14,5.49,9.03,31.33,7.96,0.88,0.09,0.09,14.16,1.59,29.38
"81","0344","ECOLE NOVE JOSSERAND",1278,17.21,1.98,2.89,10.9,31.82,10.03,0.77,0.29,0.48,12.73,0.96,29.12
"82","0345","ECOLE NOVE JOSSERAND",1321,17.26,2.38,4.97,6.65,29.52,10.03,0.75,0.09,0.28,15.56,1.31,30.83
"83","0346","ECOLE NOVE JOSSERAND",1322,22.69,1.27,2.97,12.59,21.41,12.09,0.79,0.2,0.5,10.9,1.39,37.17
"84","0347","ECOLE NOVE JOSSERAND",981,26.5,0.97,5.32,12.61,21.29,14.29,0.28,0.42,0.42,10.64,1.4,33.33
"85","0348","ECOLE MEYNIS",1130,22.83,1.49,4.31,7.92,26.54,13.04,0.93,0.12,0.12,10.71,1.05,35.27
"86","0349","ECOLE AIME CESAIRE",1053,18.42,1.28,4.83,6.25,34.2,10.14,0.59,0.24,0.35,12.5,0.94,29.95
"87","0350","G.S ANTOINE CHARIAL",947,18.37,1.03,4.31,8.5,29.02,10.85,0.65,0.13,0.26,13.33,1.57,31.37
"88","0351","G.S ANTOINE CHARIAL",947,20.59,1.46,7.29,9.85,26.99,10.8,0.81,0.27,0.27,12.15,0.81,30.77
"89","0401","MAIRIE DU 4EME ARRDT",1332,18.54,1.66,6.94,6.19,20.62,17.81,0.47,0.37,0.09,9.93,2.62,34.96
"90","0402","MAIRIE DU 4EME ARRDT",978,18.92,2.02,4.63,7.46,27.03,17.5,0.77,0.26,0.39,9.65,1.93,30.37
"91","0403","ECOLE JOSEPH CORNIER",1131,16.36,1.37,6.75,7.07,22.08,17.47,0.75,0.43,0.32,9.54,1.29,34.3
"92","0404","ECOLE JOSEPH CORNIER",1063,15.43,1.11,4.61,7.76,34.2,12.82,1.46,0.22,0.22,10.24,0.79,27.67
"93","0405","ECOLE JOSEPH CORNIER",1171,14.6,2,5,7.65,32.24,10.1,0.61,0.2,0.61,12.76,0.41,30.41
"94","0406","ECOLE DES ENTREPOTS",776,18.56,1.27,4.33,8.97,39.1,8.81,0.32,0.16,0.32,11.7,1.28,25
"95","0407","ECOLE DES ENTREPOTS",1209,19.77,1.96,2.42,9.99,39.54,9.57,0.63,0.11,0.11,9.57,1.79,26.29
"96","0408","SALLE MUNICIPALE LA FICELLE",1342,19.97,2.14,8.09,6.37,24.07,15.79,0.95,0.29,0.38,11.13,0.67,32.25
"97","0409","ECOLE DU GROS CAILLOU",1014,17.65,1.68,7.8,4.26,20.58,20.1,0.49,0.49,0.12,10.72,1.58,33.86
"98","0410","ECOLE DU GROS CAILLOU",1039,15.21,1.25,9.54,4.02,15.63,20,0.8,0.57,0.34,8.16,0.92,40
"99","0411","ECOLE COMMANDANT ARNAUD",1017,15.93,1.29,7.94,5.57,15.64,20.14,1.54,0.12,0.12,7.82,0.47,40.64
"100","0412","ECOLE COMMANDANT ARNAUD",1098,18.4,0.56,9.09,6.51,16.61,18.86,1.01,1.12,0.34,10.77,1.12,34.57
"101","0413","ECOLE COMMANDANT ARNAUD",1117,18.35,0.99,7.09,6.53,22.59,16.83,0.89,0.78,0.33,9.19,0.89,34.88
"102","0414","ECOLE COMMANDANT ARNAUD",1149,16.62,1.04,9.07,6.75,15.51,20.68,0.74,0.21,0.21,8.97,1.05,36.81
"103","0415","ECOLE GEORGES LAPIERRE",908,18.83,1.09,6.86,7.13,28.81,13.58,1.23,0.27,0.69,10.43,0.41,30.59
"104","0416","ECOLE JEAN DE LA FONTAINE",801,15.36,0.88,3.27,7.29,51.93,6.25,0.15,0.45,0.15,11.31,1.34,17.86
"105","0417","ECOLE JEAN DE LA FONTAINE",866,16.05,1.1,3.06,9.18,45.34,9.46,0.7,0.28,0.14,9.46,0.97,21.42
"106","0418","ECOLE JEAN DE LA FONTAINE",869,20.71,2.76,3.13,20.3,25.07,10.3,1.19,0.3,0.3,6.42,1.94,31.04
"107","0419","GYMNASE RENE BAILLIEU",1047,17.1,1.73,3.4,7.62,44.43,9.03,0.82,0.12,0.35,10.32,0.7,23.21
"108","0420","ECOLE JEAN DE LA FONTAINE",936,20.19,1.34,4.75,5.43,39.76,7.46,0.27,0.41,0.14,12.89,1.49,27.41
